Gene	177_759_LV	177_759_RV	180_760_LV	180_760_RV	181_761_LV	181_761_RV	182_762_LV	248_770_LV	250_668_LV	250_668_RV	252_673_LV	253_674_LV	253_674_RV	257_783_LV	257_783_RV	264_796_LV	264_796_RV	626_692_LV	631_703_LV	631_703_RV	636_740_LV	636_740_RV	637_741_LV	637_741_RV	645_750_LV	645_750_RV	647_753_LV	647_753_RV
0610030E20Rik	4.828535	6.445718	3.343458	2.181446	1.662224	2.38327	2.516984	2.426355	2.693856	2.989945	2.267919	2.009478	2.001107	3.93365	4.612138	2.63961	3.334938	1.864631	2.387713	2.110627	2.297976	2.525305	1.725145	1.812587	2.300144	2.183957	2.349256	2.222839
0610031O16Rik	0.054148	0	0.137396	0	0	0	0.077319	0.028178	0.047122	0	0	0	0	0	0	0.040142	0.086649	0	0	0.10475	0	0	0	0	0	0.154554	0	0.093225
0610037L13Rik	17.033266	24.718496	14.94471	12.051239	13.150038	18.572978	9.217835	9.574959	10.985814	13.625258	12.556948	13.449554	14.97849	17.289813	21.569697	11.971732	21.390999	12.940734	13.595241	12.950068	10.421652	12.103654	9.983714	9.956013	10.923788	13.178079	12.134468	13.749599
0610038B21Rik	2.768132	2.774798	1.381658	1.658806	1.844888	0.917247	1.159071	1.300845	1.368635	1.425123	1.119599	1.164445	1.034277	1.148667	1.32468	1.708476	1.417129	1.330522	1.709275	0.61301	1.15458	1.42185	1.526233	0.88669	1.293614	1.014145	1.601188	1.221757
0610039K10Rik	1.670645	1.579753	1.226754	1.53178	0.636083	0.043299	0.464323	0.273197	0.605725	0.792356	0.161131	0.54932	0.312923	0.300545	1.161816	2.830795	1.458728	0.443554	0.238925	0.487235	0.357619	0.207325	0.250454	0.584918	0.196161	0.576963	0.130303	0.241744
0610040B10Rik	0.791901	0.421389	2.906418	2.387327	1.346079	3.078622	1.714668	1.993547	3.623799	2.661104	1.922812	3.161619	3.516887	2.701887	2.158261	3.866884	0.693776	1.526706	3.515673	2.039053	3.252379	2.288447	2.592837	1.227935	1.337831	2.392864	2.867843	3.076099
0610040F04Rik	0	0	0	0	0	0	0.085507	0	0.018276	0	0	0	0	0.118049	0	0.162646	0.084992	0	0.11642	0.100499	0.015514	0.046736	0.022052	0.177742	0	0.043876	0.14149	0
0610040J01Rik	1.194281	1.168415	0.571915	0.330999	0.96198	0.87918	0.449211	1.50605	1.066064	1.542274	1.1606	1.053925	0.962397	0.588072	0.892118	0.932416	1.38116	0.801994	1.02369	1.089813	1.230793	1.172995	1.083108	1.060032	0.609845	1.058936	1.588106	1.293902
0610043K17Rik	0.470604	0.379581	0.441342	0.587493	0.27022	0.155003	0.075466	0.234609	1.216202	0.431553	1.036752	0.32902	0.155093	0.182456	0.329219	0.529472	0.171224	0	0.145823	0.395774	0.681386	0.919779	0.217871	0.16365	0.778438	0.233875	0.390726	0.234774
Mtarc1	9.292039	9.322451	2.738486	4.646398	1.820421	2.492889	1.883839	0.788981	2.736654	3.412496	1.346645	1.530507	2.691035	3.20816	5.638569	4.290846	6.712943	0.606815	1.594237	2.486558	0.756259	0.694139	0.555491	0.586027	1.031307	1.479667	0.545965	0.578044
Septin1	1.214296	3.7191	1.961731	3.362779	1.569492	2.493171	0.172188	0.532414	0.793905	1.496489	1.983009	1.287535	3.2188	1.678779	2.154584	1.648862	3.617932	0.690577	1.349782	2.105573	1.490219	0.70024	0.793069	0.962148	0.704125	1.429506	0.919743	1.009792
Marchf10	0	0.400495	0	0.191633	0.118956	0	0	0.011031	0.007547	0.015903	0.114293	0.12525	0	0.122769	0.15914	0.34128	0.154124	0	0.269312	0	0.161833	0.231078	0.417972	0	0	0.009161	0.099238	0
Septin10	9.740656	10.147983	5.563322	6.034086	4.272951	4.830804	3.990572	5.215619	5.347193	5.329019	5.160655	5.265583	5.492455	5.765946	6.3562	6.514917	6.239972	4.019899	6.701813	5.194162	5.075289	4.418188	4.238063	3.023522	3.737346	4.7454	4.816553	4.820295
1010001B22Rik	0.121059	0.295523	0.404893	0	0.108264	0.924033	0	0	0	0.421499	0.215723	1.43928	0.084152	0.415221	0.75214	0.612106	0.135069	0.18223	0.24351	1.155773	0.740811	0.100425	0.19842	0.425833	0.090299	0.485576	0.357306	0.453489
1010001N08Rik	0.509692	0	0.439374	1.61865	0	0.33403	0.710869	0.537948	0.234976	0	0.420141	0.536405	0.351324	0.645755	0.450759	1.283973	1.068645	0.511294	0.513976	0.41288	0.391852	0.669836	1.148967	0.768741	0.234934	0.62588	0.429641	0.887679
Marchf11	0	0.178969	0.083226	0.08271	0.340691	0.424445	0	0	0.121602	0.292893	0.058095	0.140431	0.181572	0.025842	0.14891	0	0	0.132901	0.132683	0.037803	0.068566	0	0	0.156382	0.134137	0.024081	0	0.038616
Septin11	39.333176	43.734778	10.562903	12.807188	9.317587	10.125783	6.300942	7.780568	9.888603	12.673364	10.846687	8.665963	11.861162	19.527918	27.245133	13.729919	22.264757	6.674794	9.0936	8.40004	6.617286	6.752291	5.905142	4.636525	5.753373	7.758152	6.645292	5.356364
1110001J03Rik	12.243125	18.373575	25.854514	15.217011	23.257855	25.078248	13.720923	33.591869	31.70807	21.376709	30.302253	23.851428	28.712719	16.648712	19.312857	19.187488	19.205109	25.582454	23.952261	23.28411	28.067173	33.986957	24.862495	24.959621	23.454503	28.749227	24.831675	43.693935
1110002E22Rik	61.984398	21.233983	17.177729	17.929336	23.582582	16.421648	21.142169	16.979968	21.439251	24.114603	24.271996	19.815134	16.407818	24.534817	27.476523	15.336254	15.51953	16.908213	21.665988	15.199667	18.775862	12.834043	14.760071	12.364766	13.130248	14.75218	17.238539	12.028548
1110002J07Rik	0.566216	0.080824	0.018918	0	0.066541	0.079106	0	0	0.031213	0.016219	0	0.042478	0.015779	0.059789	0	0.039405	0.047479	0.018348	0.024937	0.085087	0.053459	0	0	0.016948	0.01709	0	0	0
1110002L01Rik	1.547596	2.058175	1.515629	1.230692	2.158179	1.282712	3.113082	1.736433	1.904106	2.722765	1.575918	1.635485	1.762692	1.393117	2.817236	1.488173	0.778946	1.656353	1.965347	1.82199	1.466667	1.762168	1.273868	1.308445	1.263026	1.444826	1.208267	1.667213
1110004E09Rik	2.292391	2.034198	3.065408	5.82282	3.332926	2.003992	3.163363	2.414539	3.166161	2.556825	1.960248	3.907291	1.474337	2.32886	1.337087	4.013216	6.164636	3.268413	5.585472	3.610138	2.494994	1.713496	2.683739	2.734143	2.134217	2.159833	3.408213	1.977151
1110004F10Rik	27.99731	24.364421	18.492459	26.986313	15.700234	18.212524	13.353143	13.265782	17.601587	16.003521	14.887193	17.538247	21.607706	18.281812	19.237067	18.781649	26.211483	12.607467	17.657461	14.16619	15.289491	13.638748	14.192825	14.208054	17.580301	14.251884	15.405503	13.120071
1110007C09Rik	50.972503	25.247679	34.256106	39.401853	24.558299	22.272267	34.764421	20.542479	25.593376	22.962853	28.280406	19.552655	27.291118	34.693372	34.077725	32.202589	40.353077	23.787979	25.222664	23.821885	24.841551	17.298091	23.510953	22.424855	23.679588	24.691559	20.595712	25.445697
1110008E08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	40.305517	31.584213	26.712469	28.546672	22.366214	23.342875	26.568428	23.122028	24.982753	27.577316	21.321353	21.873941	26.126599	31.221074	36.596834	29.540322	32.03474	19.992362	23.3989	22.727648	23.49536	17.731	20.985901	20.440204	21.009058	26.802293	20.922723	23.677989
1110008L16Rik	3.259841	2.852473	2.414997	2.072534	2.171242	1.953721	1.472967	2.575233	2.232744	1.822893	2.463957	2.038127	2.183048	2.330678	2.392436	2.930992	1.755707	2.189847	2.745261	2.285277	2.050278	2.031552	1.823708	1.631509	1.269211	1.932972	1.757819	1.730945
1110008P14Rik	27.288826	17.210323	16.137031	14.740323	15.519287	14.983792	21.155232	17.198683	18.505592	19.405974	17.404468	12.569605	19.122751	17.323667	28.34359	24.501307	24.642133	11.839087	15.803944	12.516165	13.803438	12.994043	13.945201	12.313648	12.042397	9.777117	12.726674	17.775204
1110012L19Rik	2.865837	5.188011	3.644322	4.407772	3.021673	2.214709	2.464365	1.950371	2.603584	3.138681	2.044674	3.573741	3.102378	3.683393	3.746953	2.735006	5.265156	2.948778	1.517576	2.316868	3.11497	3.177211	2.60344	2.163498	3.653858	2.575787	2.931209	2.738441
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0.415343	0.30145	0.044653	0.107836	0.098718	0	0	0	0.068484	0	0	0.42308	0	0.139652	0	0.089588	0	0.254579	0.051898	0	0	0.046843	0.054779	0	0.169624	0	0.050612	0
1110018N20Rik	1.085476	1.281524	1.171153	1.216194	0.943533	1.959235	2.646611	1.495186	2.603627	2.125573	1.645274	0.993726	1.726071	0.829559	0.788097	1.155248	2.095545	2.244689	1.930475	1.332137	2.348399	1.308147	1.32049	1.444475	1.660431	1.264622	2.423834	1.925852
1110019D14Rik	2.048669	1.28506	1.303042	0.738913	1.94268	1.511106	0.678866	0.510597	1.86689	1.648561	2.557681	0.997361	1.621561	2.380032	1.660607	1.357739	0.852536	2.576298	1.487141	1.573027	2.218031	1.630939	1.405994	2.061236	0.879516	1.880516	1.125614	2.722665
1110020A21Rik	0.267344	0.3337	0.550557	0.322225	0.474057	0.711784	0	0.843006	0.54211	0.286674	0.345249	0.608274	0.241602	0.800199	0.205447	0.674062	0.074879	0.480125	0.082453	0.476204	0.358625	0.553437	0.153515	0.216253	0.334727	0.490432	0.662012	0.578299
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0.121667	0.076426	0	0	0	0	0	0	0.076095	0	0.053821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	0.065584	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034929	0	0	0	0	0.080514	0	0	0	0
1110032A03Rik	10.4156	10.111064	15.51609	16.541485	10.818804	13.089944	10.768292	9.669741	8.795889	9.320065	10.434963	10.568955	10.54954	13.713673	13.616734	12.678009	15.232825	6.241032	10.645505	8.356762	8.562054	8.122812	10.382233	8.104185	8.666842	10.505718	9.19249	9.751288
1110032F04Rik	0.209276	2.480029	0.15622	0.434355	0.150792	0.195609	0.027368	0.211373	0.141323	0.127978	0.115513	0.268592	0.155182	0.608157	0.846957	0.022845	0.233714	0.202817	0	0.039101	0.195785	0	0.22521	0.236614	0.136235	0.210918	0.054728	0.051481
1110034G24Rik	3.697097	8.527648	12.473171	9.590917	6.400117	5.060999	11.68471	11.822335	13.050396	8.936569	8.746819	8.993114	6.805949	5.30328	6.528566	8.371582	5.458197	19.08094	8.377787	7.605572	12.361779	10.41011	12.104775	11.066151	15.330728	15.097191	17.20682	14.937814
1110035H17Rik	0.33987	0	0	0	0	0	0	0	0	0	0.378772	0	0	0	0	0	0.309756	0	0	0.154362	0	0	0.047394	0	0	0	0	0
1110037F02Rik	11.192049	11.264657	7.126414	8.17852	6.360077	5.590141	5.34127	5.915384	6.484218	6.670717	6.214476	6.090934	5.986458	7.942268	9.371094	6.892471	8.53934	4.608831	7.452718	5.564654	4.931344	5.652461	5.139439	4.714953	4.147977	5.130708	5.046217	4.436953
1110038B12Rik	10.604435	2.401029	3.363188	4.263888	0.294912	2.542691	2.603419	1.357853	0.552245	2.639011	1.860873	2.313713	2.150869	3.766365	9.177303	2.50461	5.864428	0.358243	1.379933	1.215097	1.450567	0.318285	0.790163	0.325328	1.815553	1.305403	1.043619	2.506224
1110038F14Rik	4.547178	6.789109	2.906225	3.594042	4.885797	0	0.415687	0.691931	3.029024	4.636525	2.216661	1.928005	1.589973	3.659576	2.108717	0.769657	1.930875	2.397805	4.251652	3.079662	2.053153	1.738417	1.185489	3.114263	3.633699	1.652688	2.404798	1.367916
1110046J04Rik	3.498581	2.227046	1.40913	2.238839	0.885826	1.602755	0.526813	0.667779	0.946298	1.129598	1.208076	0.882088	1.367432	2.828055	3.978122	1.433874	2.272803	1.162877	0.976537	1.527756	0.874649	1.448753	0.999807	0.783011	0.711013	0.796023	0.446824	0.990058
1110051M20Rik	8.238355	12.954937	6.773305	9.713141	7.192211	6.974333	5.413048	5.944153	6.404949	6.186292	6.348554	6.494738	7.51927	9.01751	11.297111	7.928551	10.339176	4.737685	7.174018	6.730723	6.915023	5.538892	4.771549	5.223412	5.386224	6.507569	6.190811	6.726094
1110057K04Rik	6.561068	8.470232	6.016735	6.850194	5.915628	4.917788	5.434747	6.413836	7.358256	7.036406	6.136887	5.147532	6.728311	8.113383	7.339971	4.983569	6.352526	4.905451	6.570867	7.265428	5.767267	5.15693	5.152683	4.715652	3.94063	5.39694	4.380143	4.66779
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110058L19Rik	5.305393	4.491628	5.832127	6.370066	7.947455	7.984785	8.497443	10.284621	8.93334	8.445093	5.429168	6.111134	9.029777	6.229141	7.047356	5.929202	3.98896	6.539481	8.369243	8.635858	11.845554	8.168334	7.897014	8.372111	7.095311	8.076661	9.579542	12.250744
1110059E24Rik	10.499336	12.431895	6.331075	9.234241	5.532197	6.015158	3.996608	5.819601	5.466597	6.871824	3.990934	3.255362	6.921502	6.344698	8.791897	7.767767	8.924443	3.14229	5.916258	5.368313	4.045766	4.935207	3.313903	4.178093	3.857266	4.092498	4.538238	6.533569
1110059G10Rik	8.56297	12.781556	10.698069	10.767232	5.167955	8.584344	4.67875	5.31212	6.315394	7.061743	7.251311	4.565726	8.804519	9.975753	12.29913	12.374319	12.022826	3.758084	6.710126	7.314458	5.871761	5.576085	8.058613	5.075231	6.652525	3.795938	3.950568	6.052399
1110065P20Rik	4.222414	4.183729	2.257068	4.145615	3.918425	4.128621	3.196039	4.00193	5.590286	3.919039	3.251536	3.876351	2.664164	4.821899	5.984475	5.20211	5.569503	1.761106	4.27768	3.847178	3.510685	1.839982	2.567055	3.433753	1.884873	2.570417	2.519322	1.858194
1190002F15Rik	0.620047	0.389532	0.053418	0.128402	0.190951	0.818854	0.050249	0.045299	0.120428	1.685169	0.055115	0.143898	0.137722	0.151741	0.511346	0.042865	0.68301	0.036275	0.120563	0.372535	0.097552	0.060882	0.01309	0.017131	0.100912	0.031832	0.065245	0.00482
1190002N15Rik	16.301995	17.590924	12.508021	10.344886	18.767772	12.683532	8.529428	16.251475	14.827417	13.860543	19.159592	16.986865	14.724986	17.085395	19.772135	10.997741	11.305942	13.344714	16.984533	13.861333	15.808312	12.23772	13.61409	10.895834	11.815063	12.052163	12.549055	10.407202
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	0.475956	0.483938	0.347712	0.640573	0.210059	0.45118	0.171369	0.333989	0.854559	0.433746	0.377301	0.276537	0.321396	0.510878	0	0.508534	0.349346	0.506748	0.299884	0.625996	0.29441	0.416694	0.402116	0.091682	0.202726	0.490941	0.895098	0.916398
1190007I07Rik	6.591958	6.206951	9.135	5.117732	5.19799	5.463715	4.380306	11.068491	8.232911	11.189392	8.320682	9.712422	8.702374	8.835136	8.13007	7.823091	5.056524	6.17583	11.412895	8.91608	7.924386	6.837724	5.343628	8.169561	7.500664	7.084263	7.923371	8.049982
45181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1200007C13Rik	0.43475	0.380851	0.809324	0.781532	0.014852	0.113545	0.395927	0.109182	0.180805	0.248587	0.290853	0.073173	0.191738	0.177938	0.082791	0.815838	1.173396	0.025051	0.693168	0.280817	0.018256	0.040763	0	0.034949	0.048612	0.025955	0	0
1200014J11Rik	4.687323	5.565832	3.790077	4.238343	3.637269	2.392701	3.37632	2.543191	3.711743	2.972496	3.356959	3.829282	3.10144	4.629244	6.600248	3.955987	4.307844	2.882656	3.355209	3.188043	2.746172	2.51694	2.565381	3.418732	2.510725	2.855573	3.710145	2.540882
1300002E11Rik	2.931586	5.386821	3.149299	3.016691	2.754379	1.750587	2.128702	1.926272	4.638634	2.84318	3.088747	2.131838	2.1358	3.978967	4.989314	2.421296	2.642255	2.557881	7.91204	2.127565	2.37696	2.782106	2.052942	2.131532	2.302062	2.172853	2.551928	2.008324
1300017J02Rik	0.025417	0	0.030874	0.735231	1.634006	0	0	1.318625	0.273531	0	0.018095	0.843479	0.134049	0.342607	0.913236	0.316642	0.274397	0.153401	0.153746	0	0.366713	0	0.318246	0.697	0.019397	0.031398	0.134534	0.83478
45183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45184	141.090251	123.882539	64.415363	113.289638	52.181764	65.967805	45.458165	44.082092	50.36331	62.421599	52.667582	47.043132	76.378911	76.424772	105.611894	81.844479	129.718755	37.233746	54.243177	50.671998	44.036106	42.466245	38.673706	35.280333	46.639861	46.570862	36.822307	38.495291
1500002C15Rik	0.473801	0	0	0.350548	0	0	0	0	0	0	0	0	0	1.153214	0	0.218449	0	0	0	0	0	0	0	0	0.500099	0	0	0
1500004A13Rik	4.320892	6.379825	4.625742	6.554922	3.380538	2.895709	3.364379	3.131181	3.31142	2.196773	3.669017	3.116724	3.680709	4.949037	5.686569	5.104601	5.691657	2.812408	3.455852	3.234197	2.487948	3.784964	2.02519	2.391969	2.806605	3.621009	3.39399	1.565301
1500009C09Rik	0	0	0	0	0	0.055071	0	0	0.016959	0.017044	0	0	0	0	0	0	0	0	0	0.018024	0	0.022095	0	0	0	0	0	0
1500009L16Rik	2.495731	3.523424	3.782047	4.243557	2.539069	2.039962	1.159983	0.833647	2.5124	2.456459	2.61013	2.09343	2.758691	3.36192	2.953964	2.592812	3.509227	0.542061	1.648158	1.334628	1.556198	1.02056	1.308036	1.074129	1.224876	0.688188	0.835989	0.990067
1500011B03Rik	1.953287	2.341031	1.688402	4.638311	0.941985	0.635394	0.676012	0.608805	0.977773	0.809103	0.372874	0.638483	1.379645	0.826786	1.629554	4.191683	4.129813	0.965757	0.635069	0.844366	0.627577	1.021307	0.734477	0.648782	0.255432	1.016231	0.529702	0.800238
1500011K16Rik	10.149583	7.211114	10.418567	11.872073	9.898018	12.2632	7.06836	11.431978	13.397415	8.672453	12.615263	12.557824	14.74819	12.652009	13.991453	8.240956	10.439795	11.577244	11.025809	8.762847	12.801975	7.989499	12.387351	9.767226	11.628404	14.788682	7.268951	10.377517
1500012F01Rik	1.465338	1.14858	2.639321	1.907069	0.962384	1.332836	0	0.568089	0.709326	0.767024	2.246675	1.176025	0.118537	0	0.269815	0.653864	0.825741	0.108992	0	0.54421	0.819922	1.314136	0	0.69253	1.769589	0.669339	0.732258	0.779911
1500012K07Rik	0.140236	0.111269	0.178453	0.047835	0.022999	0	0	0.023763	0	0.049921	0.138359	0.15125	0.260525	0.062134	0.172846	0.040935	0.09805	0	0.051669	0.070377	0.139718	0	0	0	0.017168	0	0.018031	0
1500015A07Rik	2.245566	1.232694	1.726329	1.767848	2.391935	1.131494	0.895899	1.164648	1.284385	1.565246	1.411345	1.138117	0.303167	1.696678	1.036362	1.872626	2.469597	1.059695	1.188481	1.072987	0.976998	1.464736	1.27567	0.941057	1.270842	1.088928	1.255344	0.844424
1500015L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	2.007559	13.198188	2.681788	7.678815	2.688516	2.40694	0.269094	0	0.217055	0.448943	1.226511	0.509748	1.899752	5.377136	12.249204	5.87974	18.990195	0	0.130479	0.345683	0	0.285893	0	0.05072	0.521657	0.111978	0	0
1500017E21Rik	0.493095	2.852085	1.317569	0.801932	3.351057	0	2.214511	1.895992	1.898857	0	0	1.493942	2.438116	4.084517	5.04178	2.66176	1.088452	0	2.379734	0.144873	2.2233	0.659721	1.114096	1.192939	1.455067	2.544085	0.553405	0.821945
1500026H17Rik	0.018482	0	0	0	0.057091	0	0	0.049764	0.062263	0.058952	0.057285	0.029767	0.087584	0	0	0	0.018218	0	0.016885	0.023429	0.009405	0.038791	0	0.156386	0.012313	0.026628	0.023958	0.058318
1500035N22Rik	1.128396	0.325254	0.414655	0.659345	0	0.561107	0.361948	0	0	0.405097	0	0.433964	0.516606	0.428726	0.900993	0	1.311634	0.380371	0.137727	0.206763	0.319599	0.723946	0.303985	0	0.548197	0	0	0.180396
1520401A03Rik	0	0.035355	0.008153	0	0	0	0	0.10755	0.02627	0.038489	0	0	0	0	0	0.008357	0	0.053396	0.039037	0.013551	0	0	0	0	0	0	0.013949	0.006286
1600002H07Rik	3.239355	1.005763	0.889687	1.95835	0.637536	1.056896	0.700912	0.638684	0.740791	0.761789	0.364857	0.53595	0.688901	1.39067	0.760838	0.819035	0.684286	0.624457	0.766993	0.647374	0.549732	0.710204	0.455234	0.267591	0.950162	0.745644	0.654886	0.562748
1600002K03Rik	0.454799	0.846726	0.806966	1.007872	0.796961	0.601636	0.953825	0.374643	0.491019	0.536342	1.474079	0.465295	0.524622	1.240072	1.191988	0.781513	1.331272	0.341225	0.851677	0.836425	0.786366	1.0444	0.835571	0.665644	0.17737	0.665104	0.842246	0.433361
1600010M07Rik	3.718347	0.818181	0	0.109971	0	0.187237	0.102216	0	0.083845	0.142061	0	0.090939	0.410894	0.560247	1.35675	0.468425	0	0	0	0.29369	0	0	0	0.144363	0.135249	0.321706	0.074818	0.672743
1600012H06Rik	12.238101	14.135536	7.860222	8.285508	5.466984	6.752096	5.577079	4.845071	7.324509	7.993783	6.815642	6.525726	6.936093	9.181978	14.099082	9.228728	11.763451	5.499445	7.833983	5.456293	5.800111	6.223106	5.193055	4.14629	4.078713	5.547968	5.089313	5.604568
1600012P17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600014C10Rik	13.456174	11.505961	6.001164	6.693758	10.092185	8.1806	8.386227	10.001317	11.979678	11.035406	11.901873	10.043773	10.404347	11.0952	9.74258	9.034322	8.424959	13.241324	15.094118	10.92884	11.833376	8.763481	11.378724	9.805801	6.651763	10.195836	11.054437	9.752485
1600014K23Rik	0	0	0	0	0	0	0.161522	0	0	0	0	0	0	0	0.082767	0	0.090001	0	0	0	0	0	0	0	0	0.066695	0	0
1600015I10Rik	0	0.018942	0	0.032697	0.060937	0.011147	0	0.047734	0.065011	0	0.030932	0.029412	0.043925	0.097274	0.033176	0.040886	0.016669	0	0	0	0.129219	0.06925	0	0	0	0.065197	0.061078	0
1600019K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	1.420673	2.173297	1.170069	2.162625	0.505734	0.326642	0.478659	0.521599	0.677959	0.533615	0.693205	0.919757	0.812122	1.268573	1.602287	1.462085	1.816009	0.481058	0.736991	0.759861	0.664609	0.590941	0.669304	0.553612	0.303651	0.519999	0.970906	0.974159
1600025M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029I14Rik	0	0.234865	0.30714	0.143679	0	0	0	0.171847	0.116093	0	0	0	0.089766	0	0.063373	0.411805	0.47276	0.139985	0.117939	0	0	0	0.05266	0	0	0	0	0.07871
1600029O15Rik	0.10732	0.059993	0.125174	0.131153	0.285524	0.017645	0.159505	0.099894	0.016809	0.071294	0.094611	0	0.017532	0.153595	0.10562	0.106966	0	0.160128	0.159808	0.054952	0.028921	0.063796	0	0	0.246036	0	0	0.078316
1700001C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157821	0	0
1700001C19Rik	0.166061	0	0.072033	0	0.02751	0	0.072033	0	0	0	0.142146	0	0.083349	0	0.261502	0	0	0	0	0	0.171871	0.12382	0	0.065257	0.241191	0	0.106253	0
1700001D01Rik	0.565747	0	0.079312	0	0	0.255432	0.189291	0.355029	0	0.332384	0.167687	0.42003	0	0.080488	0	0	0.197707	0.141186	0.285204	0	0.052464	0	0	0.13472	0.569281	0	0.06869	0.058584
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
