Gene	177_759_LV	177_759_RV	180_760_LV	180_760_RV	181_761_LV	181_761_RV	182_762_LV	248_770_LV	250_668_LV	250_668_RV	252_673_LV	253_674_LV	253_674_RV	257_783_LV	257_783_RV	264_796_LV	264_796_RV	626_692_LV	631_703_LV	631_703_RV	636_740_LV	636_740_RV	637_741_LV	637_741_RV	645_750_LV	645_750_RV	647_753_LV	647_753_RV
0610040J01Rik	61.902	49	35.127	16	53	64	22	76	80	111	62	59	68	35	43	56	65	52	48	74	108	69	67	73	42	65	107.338	99.187
0610043K17Rik	6	4	7	7	4	3	1	3	14	8	9	5	3	2	4	8	2	0	1	7	16	9	2	3	10	3	7	5
Mtarc1	614.376	526.27	199	300	127	238	117	54	262.536	323.999	97.001	110	255	255.999	371	338	433.062	52.335	109	239	85	53	42	58	102	128	47	63
Septin1	47	93	57	56.001	45.999	66	5	15	42	33	45	44	105	60	44	44	76	20	33	68	53	18	25	37	20	47	35	26
Marchf10	0	4	0	5	1	0	0	1	1	2	1	5	0	2	3	3	2	0	2	0	3	2	4	0	0	1	1	0
Septin10	431.02	368.048	287.21	255.592	199.304	293.184	164.718	220.802	347.322	337.693	234.275	256.142	335.162	292.217	266.903	331.133	255.06	225.902	271.128	308.531	390.304	224.496	224.748	179.173	219.45	255.766	282.518	327.832
1010001B22Rik	1	2	4	0	1	11	0	0	0	5	2	13	1	4	6	6	1	2	2	13	11	1	2	5	1	5	4	6
1010001N08Rik	21.835	0	22.73	64.257	0	20.448	29.084	23.015	15.329	0	19.145	25.411	21.465	31.764	18.306	64.811	42.054	28.921	21.296	24.449	30.052	33.741	60.005	46.467	13.445	33.136	24.978	61.715
Marchf11	0	4	2	2	8	12	0	0	5	10	2	3	3	1	4	0	0	2	3	1	3	0	0	7	4	1	0	2
Septin11	4640.247	4265.726	1481.435	1444.829	1164.468	1738.109	711.203	956.307	1746.931	2154.743	1338.536	1128.389	2011.658	2657.998	3089.078	1878.237	2457.328	1017.058	1022.687	1366.653	1365.104	925.048	843.813	753.879	895.99	1136.988	1036.643	1019.358
1110001J03Rik	142	148	294	152	268	320	146	319	469	344	288	261	358	212	195	233	173	335	207	307	479	384	293	307	308	360	333	575
1110002E22Rik	15455.68	4410.598	4910.48	4241.443	6202.589	5736.771	4995.337	4348.86	8084.522	8735.775	6219.314	5546.587	5856.319	6979.566	6612.365	4349.925	3585.915	5502.771	5102.278	5233.169	8199.455	3715.374	4470.885	4113.283	4273.27	4615.679	5706.438	4684.674
1110002J07Rik	25	3	1	0	3	5	0	0	2	1	0	2	1	3	0	2	2	1	1	5	4	0	0	1	1	0	0	0
1110002L01Rik	91.902	99.942	115.161	74.224	123.758	133.405	201.527	131.009	192.961	245.871	108.055	109.857	177.042	100.231	179.558	78.313	40.212	153.133	131.301	170.066	174.31	141.351	101.366	122.412	109.313	115.965	115.35	198.294
1110004E09Rik	58.684	39.855	79.939	103.347	91.919	86.583	97.515	76.216	107.769	89.432	64.579	95.203	60.305	72.151	39.818	114.339	91.673	101.376	98.456	90.742	121.427	53.473	77.994	90.035	88.242	78.744	102.306	98.255
1110004F10Rik	634.911	425.938	481.594	540.785	374	608.993	277	339.994	613.677	529	375.409	417.877	655.655	442.376	472	478.893	537.667	398	409	412.934	672.536	332.055	378.992	418.838	472.308	419.636	447.679	525.044
1110007C09Rik	764.606	287.108	621.557	493.242	414.632	449.168	547.357	326.75	608.605	470.959	465.701	315.019	536.902	604.404	488.744	575.78	529.444	482.545	393.563	484.206	681.316	300.589	417.629	444.167	408.984	449.919	423.206	581.618
1110008E08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	646.807	405.598	488.425	379.104	415.132	519.163	437.41	389.184	634.622	618.5	390.313	383.65	567.38	593.226	576.883	564.334	456.946	430.411	397.854	503.432	703.355	347.493	411.079	450.313	397.089	525.93	478.954	589.127
1110008L16Rik	206.286	139.395	180.364	126.614	145.057	172.042	87.112	161.136	231.125	181.257	178.972	137.444	194.01	166.127	157.617	198.045	111.032	174.233	180.148	193.985	247.508	164.518	151.188	155.809	115.389	154.607	149.052	193.509
1110008P14Rik	354.722	170.728	254.293	181.928	232.244	263.662	265.966	231.504	360.115	347.275	246.703	181.457	328.688	264.772	342.978	355.379	286.46	208.28	195.953	210.698	321.263	177.584	214.675	201.506	198.224	158.735	224.012	320.261
1110012L19Rik	65	93	97.961	84.951	76	69	55.995	46.981	92.926	98.546	51.864	85.959	96.998	96.877	82.983	72.999	108.987	88.759	35.979	71	125.878	83.722	68.922	65.921	96.956	70.776	89.907	97.948
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	6	5	1	2	2	0	0	0	2	0	0	6	0	3	0	2	0	5	1	0	0	1	1	0	3	0	1	0
1110018N20Rik	24.131	22.305	29	22.161	22.324	56.163	56.552	34.908	89.59	63.859	35	22	50.412	21	17	29.97	42.199	64	43.25	40	90.6	33	32.609	42	41.349	32.886	69.055	63.21
1110019D14Rik	66	35.575	48.674	23.323	63.478	70.267	19.882	16.554	88	47.703	78.813	34.744	74.668	88	52.16	50	26.934	103.899	44.299	50.068	119.975	62	36.126	90	38.169	73.942	47.264	109
1110020A21Rik	4	4	10	4	8	15	0	13	13	6	6	10	5	14	3	12	1	10	1.316	10	10	10	2.786	4.459	6	9	14	14
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	2	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0
1110032A03Rik	165.769	192.454	339.354	275.943	198.236	321.862	191.616	182.364	270.603	219.124	201.433	202.67	280.679	284.048	270.275	289.103	252.529	171.447	190.548	213.187	271.8	157.781	203.404	206.59	203.271	214.812	209.54	296.449
1110032F04Rik	8	75.47	7	16	6	10	1	8	8	7	4.388	11	8	26.421	29.907	1	8	10	0	2	13	0	10	12	7	10	2.783	3
1110034G24Rik	81	148	301	160.999	148	154	237.001	247	410.199	252	202	195	201	129	128	198	102	511	180	229	446	245	292.986	315.999	359	370	466.999	489
1110035H17Rik	6.516	0	0	0	0	0	0	0	0	0	7.719	0	0	0	0	0	4.913	0	0	3.785	0	0	1.004	0	0	0	0	0
1110037F02Rik	1493	1236	1168	1050.999	916.999	1109	706	787	1277	1252	941	940.001	1189	1191	1209	1075	1080	843	925	1066	1207.999	864	802.999	881	712	867	883	978
1110038B12Rik	141.659	20.593	46.589	46.408	9.877	54.281	42.51	24.717	11.709	53.897	16.957	33.947	45.394	60.685	152.475	32.42	59.865	17.787	21.083	32.565	29.161	4.332	13.622	11.17	32.691	23.319	27.447	69.754
1110038F14Rik	94.29	104.588	73.432	61.811	115.008	0	9.32	15.338	101.142	132.524	51.784	43.688	43.792	88.588	41.484	18.983	34.52	68.918	92.848	87.612	80.242	42.091	29.346	85.952	87.931	42.591	70.042	44.203
1110046J04Rik	89	70.175	67.779	66.833	33.807	68.305	16.088	26.328	55.468	54.777	40.428	38.205	50.655	83.011	103.104	54.982	80.201	60.484	34.595	70.217	49.139	63	38.378	40.814	27.459	39.45	33.268	44.11
1110051M20Rik	286.595	368.742	332.872	304.304	279.6	332.823	165.131	186.188	276.428	301.829	257.247	235.701	333.255	343.705	371.487	363.463	357.108	238.552	249.731	316.096	396.334	238.873	176.232	267.491	248.834	292.397	284.864	358.35
1110057K04Rik	349.629	390.899	387.734	366.717	340.994	389.561	280.747	350.564	600.853	558.014	350.275	305.305	529.998	525.843	381.733	315.722	336.579	352.636	336.609	542.457	538.283	329.517	331.771	342.996	275.169	360.066	305.697	396.407
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110058L19Rik	56	40	80	67	101	135	96	121	162	139	74	81	153	78	73	76	40	101	89	133	250	103	116	135	116	118	144	226
1110059E24Rik	189.993	165.001	149	144	110	173	72	129	184	178	101	88	205.001	150.999	178.999	164	169	97.999	129	157	172.001	116.999	79	123.001	99.997	117	131	185
1110059G10Rik	138.094	153.921	216.148	185.615	76.664	222.763	110.608	111.955	211.777	149.584	117.007	110.013	196.127	185.74	216.552	259.948	230.448	112.025	109.884	180.524	193.303	110.081	128.354	135.096	148.593	105.206	120.005	181.922
1110065P20Rik	42.005	33.563	31.914	32.861	37	56.668	29.498	36.065	76.973	52.437	31.249	36.266	34.181	50.006	51.547	59.626	44.349	19.767	36.09	44.27	63.073	19.869	25.862	42	21.562	29.678	30.362	24.178
1190002F15Rik	78.303	41.745	8	15.68	25.022	25.62	6	6	23.007	71	7.137	20	25.101	22.056	62.304	6.249	18.876	6	14.646	29	21.507	9	2	3	17	5.033	11	1
1190002N15Rik	1003	905	890	615	1189	1089	494	1031	1373	1255	1193	1126	1274	1205	1171	771	648	1072	987	1177	1695	875	976	909	952	936	1020	1032
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	8	6	7	9	4	10	3	6	22	10	7	5	6.885	10	0	10	5	9	5.079	14	9	8	8	2	4	10	21	22
1190007I07Rik	63.799	42.846	101.592	45.792	54.652	79.608	37.548	99.651	115.041	143.895	72.453	91.165	104.994	94.892	67.098	80.118	43.802	79.444	95.437	105.989	128.71	74.478	67.058	113.362	98.707	86.264	97.99	126.087
45181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1200007C13Rik	28	20	62	47	1	10	24	7	17	22	19	5.009	17	13	5	61	70	2	41	24	2	3	0	3	4	2	0	0
1200014J11Rik	853	804	799.999	703.999	582.999	643.891	506	508	975	836	619.68	616	792	882.615	1001.001	752	716.106	681	571	760	838	518	549.001	694	561.84	612.001	775.971	721.648
1300002E11Rik	149.815	249.261	189.065	162.764	165.006	143.644	115.988	113.272	267.334	195.78	175.521	134.378	180.162	264.993	284.115	158.199	140.644	193.988	215.868	174.133	241.711	193.691	142.086	171.536	175.144	159.715	197.12	186.862
1300017J02Rik	1	0	2	11	11	0	0	7	3	0	1	5	1	4	7	3	10	2	2	0	6	0	2	5	1	2	1	12
45183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45184	2736.989	1950.999	1624	1763	1212	1991	969.999	988	1771	1908.991	1223.001	1064	2060	1937	2214	2093.984	2601	1062	1221	1526	1711.999	1046.995	940.999	1030.999	1035.998	1193.001	1092	1345.001
1500002C15Rik	21.934	0	0	15.664	0	0	0	0	0	0	0	0	0	60.282	0	11.609	0	0	0	0	0	0	0	0	30.333	0	0	0
1500004A13Rik	455.862	539.761	552.761	582.358	327.124	387.214	306.631	337.603	440.239	313.291	396.164	322.636	530.007	538.912	565.789	623.826	503.205	359.435	325.644	470.305	389.318	367.652	228.524	295.004	286.42	377.117	374.284	271.793
1500009C09Rik	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
1500009L16Rik	46.875	52.734	83.785	67.578	52.726	52	22	17	75.876	64.751	54	42	70.08	73.324	54.853	58	61.154	14	33	35	54	23	29	27.407	26	15.953	22	30
1500011B03Rik	44.973	44.003	36	63.292	25	19	18	10	38	25.007	10.854	18	34.388	20.614	32	62	54	22	15	21	25	27	11.25	21	5.932	21	19	24
1500011K16Rik	101	58	117	101	105	169	68	115	213	125	136	132	199	145	138	95	92	154	116	123	228	96	139	132	140	180	97	170
1500012F01Rik	53.647	39.73	31.446	33.354	14.141	27.338	0	22.944	33.428	10.618	24.807	44.974	2.053	0	3.068	9.461	19.793	1.835	0	23.851	14.369	18.277	0	10.08	25.056	33.835	12.477	13.409
1500012K07Rik	6	4	9	2	1	0	0	1	0	3	6	7	16	3	7	2	4	0	2	4	10.182	0	0	0	1	0	1	0
1500015A07Rik	68.03	34	66.015	50.199	76.242	46.011	27	36.025	61	70.053	46.05	39.012	14	60.053	31.028	70	74.953	43	34.017	43.074	52.114	49.035	49	41	56	43	53	43
1500015L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	29	149	47	95	43	48	4	0	5	9	20	8	38	90	171	101	247	0	2	7	0	5	0	1	9	2	0	0
1500017E21Rik	14.627	66.97	45.026	23.194	101.907	0	60.454	54.59	80.696	0	0	48.25	104.361	145.056	147.909	90.133	30.853	0	64.104	7.059	114.191	21.582	33.863	47.651	54.78	97.833	20.747	38.042
1500026H17Rik	1.234	0	0	0	4	0	0	3.42	6.224	5.714	4	2.178	8.433	0	0	0	1.158	0	1.071	2.144	1.092	3	0	14.352	1.07	2.221	2.124	6.291
1500035N22Rik	16	3.731	6.781	8.081	0	11	5	0	0	8	0	6.491	10	7	12.444	0	17	7	2	4	8	12	5	0	9.392	0	0	4
1520401A03Rik	0	3	1	0	0	0	0	11	4	3	0	0	0	0	0	1	0	7	2	1	0	0	0	0	0	0	1	1
1600002H07Rik	90	41	52	83	33	41	29	27	53	51	18	26	39	74	35	47	31	37	33	41	46	39	24	17	40.001	41	40	41
1600002K03Rik	6	9	13	12	12	11	13	5	10	10	22	7	10	19	15	12	16	6	11	15	19	16	14	12	3	11	15	9
1600010M07Rik	36	11	0	1	0	3	1	0	3	2	0	1	6	8.495	13	6	0	0	0	4	0	0	0	2	3	4	1	11
1600012H06Rik	524.067	515.2	373.897	354.237	239.46	364.252	197.059	205.059	453.097	454.337	295.178	296.088	422.383	449.599	524.264	443.04	478.381	295.738	299.936	297.221	399.329	294.836	227.773	223.458	235.34	247.878	280.602	383.047
1600012P17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600014C10Rik	597	461.412	365	286	535	593.186	365.862	514	959	816	606.763	556.788	675	603	496	497	398.947	741.999	694.924	737	1066	545.001	701	698	500.888	601	703.545	777.531
1600014K23Rik	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
1600015I10Rik	0	1	0	2	4	1	0	3	6	0	2	2	4	7	2	3	1	0	0	0	14	5	0	0	0	5	5	0
1600019K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	54.413	65.736	51.64	76.086	20.493	16.379	17.278	19.182	38.405	28.513	26.775	37.058	40.91	55.236	56.364	63.936	60.703	23.329	23.657	37.709	43.786	24.893	29.44	27.681	15	23.904	48.479	50.159
1600025M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029I14Rik	0	3	6	2	0	0	0	3	3	0	0	0	2	0	1	8	7	3	2	0	0	0	1	0	0	0	0	2
1600029O15Rik	1	2	6	5	3	1	6	4	1	4	1	0	1	7	4	5	0	2	6	3	2	3	0	0	13	0	0	5
1700001C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
1700001C19Rik	2	0	3	0	1	0	1	0	0	0	2	0	4	0	3	0	0	0	0	0	4	2	0	3	4	0	2	0
1700001D01Rik	6	0	1	0	0	4	2	4	0	5	2	5	0	1	0	0	2	2	3	0	1	0	0	2	8	0	1	1
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	0	1	3	0	3	0	0	7	0	0	0	7.96	1	4	1.64	2	2	0	0	2	6	0	3	8	1	2	0	12.767
1700001J03Rik	2	0	1	13	0	7	0	5	1	0	0	0	7	0	3	3	3	0	0	0	0	1	0	0	1	1	0	1
1700001J04Rik	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001K19Rik	12	14	13	3	9	6	9	6	5	13	3	15	5	10	22	12	13	8	12	8	12	11	4	12	6	7	11	3
1700001L05Rik	57.38	65	30	33.602	10.422	20	14	22	30	47	7.998	21	32	35	30	40.998	23.922	23	15	23.568	50	22	12	20	17	19	16	21
1700001L19Rik	0	7	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001O22Rik	6	2	7	3	0	3	2	4	1	7	0	1	1	0	5	8	0	0	3	2	1	6	2	0	8	2	1	2
1700001P01Rik	1	0	0	3	0	0	0	0	0	0	0	8	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1700003C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
1700003E16Rik	1	2.526	1	0	0	5	0	0	4.164	6.908	0	0	0	0	12	3	9	0	0	0	0	0	0	0	5.254	5.789	0	2.06
1700003E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	4	1	1	0	0	8	9	5	0	1	0	1	2	5	2	7	0	1	0	1	3	1	1	0	0	0	0	0
1700003G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003G18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003M02Rik	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0
1700003M07Rik	2	2.232	4	0	2	0	0	2	2	3	0	3	8	0	1	0	6	0	0	3	1.097	1.074	0	0	4	1	0	0
1700003P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006J14Rik	14	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700007B14Rik	1	0	4	2	0	0	8	5	0	0	1	4	1	1	1	6	7	6	5	0	15	1	2	5	2	0	6	3
1700007E05Rik	16.434	11.395	15	4	4.06	8.27	6	21	7	13	10	13	8.081	11	20	16.884	16	20	6	4	10.005	4.13	4	9	10.042	1	3	13
1700007F19Rik	0	1	0	0	0	0	1	0	0	0	0	0	4	1	0	3	0	0	0	1	1	0	0	0	0	0	3	0
1700007G11Rik	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700007J10Rik	15	12.009	20	9.062	18.166	17	12	3	7	11.021	17	9.006	12.062	1	19	17	14.017	15	7	13.043	8.003	18.14	6.01	4	4	0	12	10.09
1700007K09Rik	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	2	7	0	0	0	0	0	0	0	0	0
1700007K13Rik	0	0	0	0	0	0	0	0	1	0	5	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0
1700007L15Rik	0	0	0	0	10.164	6	3.531	0	7.922	18	6	12	4.059	18	8.325	25.773	0	0	0	0	11.892	3.833	9	0	12.412	12.258	0	0
1700007M16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007P06Rik	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	0	1	0	0	0	5	1
1700008F21Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008I05Rik	5	2	0	0	0	0	0	0	0	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6
1700008J07Rik	71.365	61.965	38.132	58.649	59.662	52.915	32.1	20.363	100.91	59.66	55.273	25.877	69.605	83.82	67.392	37.446	53.724	41.4	29.925	46.204	49.327	48.085	47.012	39.135	30.314	40.086	41.798	47.158
1700008K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	0	6.253	1	2	0	0	7	1	0	0	0	0	4	0	0	0	0	0	0	3	3	0	1	0	3	0	0	2
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	1	1	0	0	0	2	1	4	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009P17Rik	9	18	25	15	18	9	5	7	13	16	23	7	26	40	16	7	17	20	6	6	13	9	9	8	27	9	32.001	20
1700010B08Rik	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010B13Rik	0	5	0	5	0	2	1	0	0	0	0	4	2	0	0	2	2	0	1	0	0	0	0	0	0	2	0	0
1700010D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010H22Rik	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
1700010I02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	6	0	0	0	0	4	1	2	0	2	4	3	4	2	0	0	0	1	2	2	1	3	0	2	2	3	1	1
1700010J16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010L04Rik	2	1	0	0	0	0	0	0	0	8	0	0	1	1	2	1	0	6	1	0	0	0	1	0	0	0	1	0
1700010N08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011A15Rik	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1
